[TRACE] 18:03:19:159 SWAP/(3861:3861): Pag: 0, Estado: 1
[TRACE] 18:03:19:160 SWAP/(3861:3861): Pag: 1, Estado: 1
[TRACE] 18:03:19:160 SWAP/(3861:3861): Pag: 2, Estado: 0
[TRACE] 18:03:19:160 SWAP/(3861:3861): Pag: 3, Estado: 0
[TRACE] 18:03:19:161 SWAP/(3861:3861): Pag: 4, Estado: 0
[TRACE] 18:03:19:161 SWAP/(3861:3861): Pag: 5, Estado: 0
[TRACE] 18:03:19:161 SWAP/(3861:3861): Pag: 6, Estado: 0
[TRACE] 18:03:19:161 SWAP/(3861:3861): Pag: 7, Estado: 0
[TRACE] 18:03:19:161 SWAP/(3861:3861): Pag: 8, Estado: 0
[TRACE] 18:03:19:162 SWAP/(3861:3861): Pag: 9, Estado: 0
[TRACE] 18:03:19:162 SWAP/(3861:3861): Pag: 10, Estado: 0
[TRACE] 18:03:19:162 SWAP/(3861:3861): Pag: 11, Estado: 0
[TRACE] 18:03:19:162 SWAP/(3861:3861): Pag: 12, Estado: 0
[TRACE] 18:03:19:163 SWAP/(3861:3861): Pag: 13, Estado: 0
[TRACE] 18:03:19:178 SWAP/(3861:3861): Pag: 14, Estado: 0
[TRACE] 18:03:19:178 SWAP/(3861:3861): Pag: 15, Estado: 0
[TRACE] 18:03:19:178 SWAP/(3861:3861): Pag: 16, Estado: 0
[TRACE] 18:03:19:178 SWAP/(3861:3861): Pag: 17, Estado: 0
[TRACE] 18:03:19:178 SWAP/(3861:3861): Pag: 18, Estado: 0
[TRACE] 18:03:19:179 SWAP/(3861:3861): Pag: 19, Estado: 0
[TRACE] 18:03:19:179 SWAP/(3861:3861): Pag: 20, Estado: 0
[TRACE] 18:03:19:179 SWAP/(3861:3861): Pag: 21, Estado: 0
[TRACE] 18:03:19:179 SWAP/(3861:3861): Pag: 22, Estado: 0
[TRACE] 18:03:19:180 SWAP/(3861:3861): Pag: 23, Estado: 0
[TRACE] 18:03:19:180 SWAP/(3861:3861): Pag: 24, Estado: 0
[TRACE] 18:03:19:180 SWAP/(3861:3861): Pag: 25, Estado: 0
[TRACE] 18:03:19:180 SWAP/(3861:3861): Pag: 26, Estado: 0
[TRACE] 18:03:19:181 SWAP/(3861:3861): Pag: 27, Estado: 0
[TRACE] 18:03:19:181 SWAP/(3861:3861): Pag: 28, Estado: 0
[TRACE] 18:03:19:181 SWAP/(3861:3861): Pag: 29, Estado: 0
[TRACE] 18:03:19:181 SWAP/(3861:3861): Pag: 30, Estado: 0
[TRACE] 18:03:19:182 SWAP/(3861:3861): Pag: 31, Estado: 0
[TRACE] 18:03:19:182 SWAP/(3861:3861): Pag: 32, Estado: 0
[TRACE] 18:03:19:182 SWAP/(3861:3861): Pag: 33, Estado: 0
[TRACE] 18:03:19:182 SWAP/(3861:3861): Pag: 34, Estado: 0
[TRACE] 18:03:19:182 SWAP/(3861:3861): Pag: 35, Estado: 0
[TRACE] 18:03:19:183 SWAP/(3861:3861): Pag: 36, Estado: 0
[TRACE] 18:03:19:210 SWAP/(3861:3861): Pag: 37, Estado: 0
[TRACE] 18:03:19:210 SWAP/(3861:3861): Pag: 38, Estado: 0
[TRACE] 18:03:19:210 SWAP/(3861:3861): Pag: 39, Estado: 0
[TRACE] 18:03:19:211 SWAP/(3861:3861): Pag: 40, Estado: 0
[TRACE] 18:03:19:211 SWAP/(3861:3861): Pag: 41, Estado: 0
[TRACE] 18:03:19:211 SWAP/(3861:3861): Pag: 42, Estado: 0
[TRACE] 18:03:19:223 SWAP/(3861:3861): Pag: 43, Estado: 0
[TRACE] 18:03:19:223 SWAP/(3861:3861): Pag: 44, Estado: 0
[TRACE] 18:03:19:223 SWAP/(3861:3861): Pag: 45, Estado: 0
[TRACE] 18:03:19:224 SWAP/(3861:3861): Pag: 46, Estado: 0
[TRACE] 18:03:19:224 SWAP/(3861:3861): Pag: 47, Estado: 0
[TRACE] 18:03:19:226 SWAP/(3861:3861): Pag: 48, Estado: 0
[TRACE] 18:03:19:227 SWAP/(3861:3861): Pag: 49, Estado: 0
[TRACE] 18:03:19:227 SWAP/(3861:3861): Pag: 50, Estado: 0
[TRACE] 18:03:19:227 SWAP/(3861:3861): Pag: 51, Estado: 0
[TRACE] 18:03:19:228 SWAP/(3861:3861): Pag: 52, Estado: 0
[TRACE] 18:03:19:228 SWAP/(3861:3861): Pag: 53, Estado: 0
[TRACE] 18:03:19:228 SWAP/(3861:3861): Pag: 54, Estado: 0
[TRACE] 18:03:19:228 SWAP/(3861:3861): Pag: 55, Estado: 0
[TRACE] 18:03:19:229 SWAP/(3861:3861): Pag: 56, Estado: 0
[TRACE] 18:03:19:229 SWAP/(3861:3861): Pag: 57, Estado: 0
[TRACE] 18:03:19:229 SWAP/(3861:3861): Pag: 58, Estado: 0
[TRACE] 18:03:19:229 SWAP/(3861:3861): Pag: 59, Estado: 0
[TRACE] 18:03:19:245 SWAP/(3861:3861): Pag: 60, Estado: 0
[TRACE] 18:03:19:245 SWAP/(3861:3861): Pag: 61, Estado: 0
[TRACE] 18:03:19:245 SWAP/(3861:3861): Pag: 62, Estado: 0
[TRACE] 18:03:19:246 SWAP/(3861:3861): Pag: 63, Estado: 0
[TRACE] 18:03:19:246 SWAP/(3861:3861): Pag: 64, Estado: 0
[TRACE] 18:03:19:246 SWAP/(3861:3861): Pag: 65, Estado: 0
[TRACE] 18:03:19:246 SWAP/(3861:3861): Pag: 66, Estado: 0
[TRACE] 18:03:19:247 SWAP/(3861:3861): Pag: 67, Estado: 0
[TRACE] 18:03:19:247 SWAP/(3861:3861): Pag: 68, Estado: 0
[TRACE] 18:03:19:247 SWAP/(3861:3861): Pag: 69, Estado: 0
[TRACE] 18:03:19:247 SWAP/(3861:3861): Pag: 70, Estado: 0
